"","#treeName","pi_1","pi_2","pi_3","pi_4","r_1","r_2","r_3","r_4","r_5","r_6","alpha","ModelComparisonExperiments.mainRand","ModelComparisonExperiments.alphaSMCSampler","gen.len","gen.nTaxa","gen.rand","gen.treeRate","ModelComparisonExperiments.iterScalings"
"44","sim--1787744172.msf.Rep0",0.249038984662441,0.210232335208058,0.306702156037669,0.306702156037669,0.159222604427515,0.171681362555333,0.165346199405725,0.183239788160518,0.167904334010902,0.152605711440008,3.54121177479777,7181,0.99995,1000,10,212,10,"100 100000 100 100000 100 100000"
"45","sim--1270620480.msf.Rep0",0.249037773361524,0.271099257603716,0.244366533926068,0.244366533926068,0.160975210919243,0.145476124714128,0.164278061677539,0.198754843241427,0.147662186528719,0.182853572918944,9.75818839318882,7181,0.99995,1000,10,300,10,"100 100000 100 100000 100 100000"
"46","sim-1672922540.msf.Rep0",0.27734828728037,0.286697570350489,0.202083552908055,0.202083552908055,0.192110912347073,0.17671992361589,0.151979884742755,0.171135934290199,0.140550196290839,0.167503148713243,0.899505268612546,7181,0.99995,1000,10,225,10,"100 100000 100 100000 100 100000"
"47","sim--759731075.msf.Rep0",0.24534331161923,0.246495531435325,0.292018301533736,0.292018301533736,0.17268032243803,0.146539520589122,0.178768420288533,0.168317181367898,0.149309846138396,0.184384709178021,1.57407294238143,7181,0.99995,1000,10,257,10,"100 100000 100 100000 100 100000"
"48","sim--1651811219.msf.Rep0",0.259752380631456,0.260747773612584,0.241637828962091,0.241637828962091,0.182717549902725,0.142868912463661,0.16529730915475,0.180010722740812,0.159633534128754,0.169471971609298,2.68378409434755,7181,0.99995,1000,10,255,10,"100 100000 100 100000 100 100000"
"49","sim-1627611556.msf.Rep0",0.244350447343843,0.223700447060259,0.282204406430853,0.282204406430853,0.180247964175326,0.168802228160828,0.181420679778799,0.16597616985504,0.13782268893984,0.165730269090167,1.79939959371675,7181,0.99995,1000,10,244,10,"100 100000 100 100000 100 100000"
"50","sim-23024236.msf.Rep0",0.251313445219033,0.252069804569012,0.224670572191741,0.224670572191741,0.159143754344493,0.176372015921401,0.169609352777863,0.169844018989716,0.165773501596008,0.159257356370519,10.9273995551626,7181,0.99995,1000,10,292,10,"100 100000 100 100000 100 100000"
"51","sim-1872869341.msf.Rep0",0.242476204189553,0.280432857140089,0.257966080167181,0.257966080167181,0.142631961265459,0.182321021723837,0.171773638008284,0.182680445969264,0.152841244362197,0.16775168867096,1.6982727977155,7181,0.99995,1000,10,258,10,"100 100000 100 100000 100 100000"
"52","sim-1258889392.msf.Rep0",0.28049536702352,0.26497575237124,0.218325358312373,0.218325358312373,0.134823301117282,0.158446909467474,0.180732733189087,0.172355333193039,0.178591592241121,0.175050130791997,1.23436894676183,7181,0.99995,1000,10,201,10,"100 100000 100 100000 100 100000"
"53","sim-935478213.msf.Rep0",0.235592166064094,0.291339070733173,0.249591190752474,0.249591190752474,0.154971497827735,0.162124810242641,0.143574890676299,0.19340108565093,0.178447832497335,0.16747988310506,5.10665964018545,7181,0.99995,1000,10,207,10,"100 100000 100 100000 100 100000"
