"X.Method","Adaptive","AdaptiveType","T","IterScale","Repeat","Metric","Value","TreeName","Time"
"ANNEALING","true",0,12427,1000,3,"ConsensusLogLL",-28044.9847544391,"sim-1121221206.msf",14829744
"ANNEALING","true",0,12427,1000,3,"BestSampledLogLL",-28060.0531595108,"sim-1121221206.msf",14829744
"ANNEALING","true",0,12427,1000,3,"PartitionMetric",0,"sim-1121221206.msf",14829744
"ANNEALING","true",0,12427,1000,3,"RobinsonFouldsMetric",0.362229805400059,"sim-1121221206.msf",14829744
"ANNEALING","true",0,12427,1000,3,"KuhnerFelsenstein",0.0039694777282408,"sim-1121221206.msf",14829744
"ANNEALING","false",0,12427,1000,3,"ConsensusLogLL",-28044.4750064454,"sim-1121221206.msf",14809367
"ANNEALING","false",0,12427,1000,3,"BestSampledLogLL",-28062.0131712783,"sim-1121221206.msf",14809367
"ANNEALING","false",0,12427,1000,3,"PartitionMetric",0,"sim-1121221206.msf",14809367
"ANNEALING","false",0,12427,1000,3,"RobinsonFouldsMetric",0.340632636889731,"sim-1121221206.msf",14809367
"ANNEALING","false",0,12427,1000,3,"KuhnerFelsenstein",0.00340237822456446,"sim-1121221206.msf",14809367
"ANNEALING","true",0,12238,1000,4,"ConsensusLogLL",-28044.1284429895,"sim-1121221206.msf",14755181
"ANNEALING","true",0,12238,1000,4,"BestSampledLogLL",-28059.3082625798,"sim-1121221206.msf",14755181
"ANNEALING","true",0,12238,1000,4,"PartitionMetric",0,"sim-1121221206.msf",14755181
"ANNEALING","true",0,12238,1000,4,"RobinsonFouldsMetric",0.345335911766329,"sim-1121221206.msf",14755181
"ANNEALING","true",0,12238,1000,4,"KuhnerFelsenstein",0.00437764955630482,"sim-1121221206.msf",14755181
"ANNEALING","false",0,12238,1000,4,"ConsensusLogLL",-28044.3184407831,"sim-1121221206.msf",14739599
"ANNEALING","false",0,12238,1000,4,"BestSampledLogLL",-28058.8059370619,"sim-1121221206.msf",14739599
"ANNEALING","false",0,12238,1000,4,"PartitionMetric",0,"sim-1121221206.msf",14739599
